iter	Logloss
0	0.6798481295
1	0.6678311664
2	0.6571415551
3	0.6469681774
4	0.6375676232
5	0.6296246753
6	0.6215407541
7	0.6146329303
8	0.6081180992
9	0.6019461379
10	0.5961684621
11	0.5910422928
12	0.5861372283
13	0.5816424105
14	0.5774175276
15	0.5736314342
16	0.570109382
17	0.5673372804
18	0.5641812559
19	0.5612466518
20	0.5585710298
21	0.5560137117
22	0.5535394975
23	0.5514586629
24	0.5492642169
25	0.5480792635
26	0.5461329485
27	0.5447418437
28	0.5430863312
29	0.5416047832
30	0.5392511634
31	0.5378824429
32	0.5365715714
33	0.5347379413
34	0.5331771474
35	0.531254255
36	0.5301177653
37	0.5291625895
38	0.5276150287
39	0.5266609421
40	0.5260483205
41	0.5253243373
42	0.5238072635
43	0.5227810565
44	0.5220074288
45	0.5212612547
46	0.5204803182
47	0.5194142999
48	0.5185961275
49	0.5178817841
50	0.5175266075
51	0.5166834245
52	0.5159220934
53	0.5155281337
54	0.5148339962
55	0.5142173436
56	0.5136362779
57	0.5132949554
58	0.5129791932
59	0.5120656915
60	0.5115926894
61	0.511030201
62	0.5105888871
63	0.5099626659
64	0.5095235406
65	0.5088461583
66	0.5083410303
67	0.5080983453
68	0.5074499027
69	0.5067967879
70	0.506120454
71	0.5053920937
72	0.5049760855
73	0.5048043402
74	0.5043850441
75	0.5040342752
76	0.5035272844
77	0.5030579672
78	0.5025173337
79	0.502133421
80	0.501496593
81	0.5012683728
82	0.5009598481
83	0.5001865359
84	0.4998556675
85	0.4996440295
86	0.4993363292
87	0.4989194049
88	0.4980524838
89	0.4975639786
90	0.4973814737
91	0.4971466675
92	0.496927059
93	0.4965996924
94	0.4963577708
95	0.4960026961
96	0.4955113712
97	0.4951763395
98	0.4948585312
99	0.4945386565
100	0.4943033922
101	0.4941171108
102	0.4937511543
103	0.4930939474
104	0.4924382572
105	0.4922725889
106	0.4920730642
107	0.49146597
108	0.4903468564
109	0.4902593856
110	0.4899294639
111	0.4897657907
112	0.4895701647
113	0.489453693
114	0.4891464305
115	0.4890112288
116	0.4888932404
117	0.4887065518
118	0.4885822726
119	0.4880388093
120	0.4876986574
121	0.4874189808
122	0.4871433149
123	0.4870045912
124	0.4866734276
125	0.4863665315
126	0.4862331927
127	0.4857802235
128	0.4855650329
129	0.4852102126
130	0.4848010246
131	0.4846203316
132	0.4843666021
133	0.4840507075
134	0.4839558974
135	0.483500536
136	0.4832900482
137	0.4828328342
138	0.4827483866
139	0.48261858
140	0.4823215579
141	0.4814566319
142	0.4808465145
143	0.4806313136
144	0.480058086
145	0.479907137
146	0.4798047942
147	0.4794696607
148	0.479363633
149	0.4791228922
150	0.4789288135
151	0.478522832
152	0.47838534
153	0.4782545867
154	0.477673521
155	0.4773634185
156	0.476970385
157	0.476854463
158	0.4766394352
159	0.4765258748
160	0.4762038523
161	0.4757829072
162	0.4754201979
163	0.475109505
164	0.4748842368
165	0.4747968576
166	0.4746284307
167	0.4740824429
168	0.4735520295
169	0.4733843762
170	0.4731381285
171	0.4730166587
172	0.4729027319
173	0.4728159023
174	0.4727562821
175	0.4725884863
176	0.4723340646
177	0.4718838947
178	0.4714988927
179	0.4714191276
180	0.4713520154
181	0.4712462218
182	0.4711874872
183	0.4709785365
184	0.4708282084
185	0.470673778
186	0.4706033779
187	0.4704508816
188	0.4701966839
189	0.4700657066
190	0.4697735502
191	0.4694816991
192	0.4693289789
193	0.469086579
194	0.4687939543
195	0.4686221377
196	0.4685444084
197	0.4683417281
198	0.4678395521
199	0.4671699163
200	0.4670460035
201	0.4668441274
202	0.4665315919
203	0.4663389688
204	0.466050253
205	0.465869845
