iter	Passed	Remaining
0	157	156991
1	166	83155
2	178	59274
3	190	47540
4	200	39862
5	209	34788
6	222	31527
7	233	28978
8	243	26827
9	256	25363
10	268	24133
11	279	23022
12	292	22208
13	309	21781
14	326	21452
15	345	21242
16	359	20768
17	377	20595
18	396	20484
19	417	20440
20	427	19942
21	442	19686
22	457	19415
23	472	19207
24	485	18948
25	498	18664
26	508	18335
27	532	18485
28	551	18475
29	582	18845
30	600	18773
31	616	18654
32	635	18617
33	663	18840
34	682	18809
35	697	18672
36	712	18536
37	722	18285
38	739	18229
39	762	18291
40	777	18175
41	787	17967
42	799	17787
43	810	17607
44	820	17413
45	834	17308
46	847	17191
47	860	17060
48	870	16894
49	882	16765
50	894	16639
51	906	16519
52	916	16374
53	929	16291
54	946	16268
55	960	16196
56	975	16132
57	988	16055
58	1000	15962
59	1014	15898
60	1028	15837
61	1046	15836
62	1071	15934
63	1141	16695
64	1195	17200
65	1229	17404
66	1257	17510
67	1280	17556
68	1296	17493
69	1310	17408
70	1324	17330
71	1338	17257
72	1352	17175
73	1369	17136
74	1380	17030
75	1402	17052
76	1415	16965
77	1428	16883
78	1442	16822
79	1459	16779
80	1473	16718
81	1487	16651
82	1501	16585
83	1512	16496
84	1527	16439
85	1542	16394
86	1558	16353
87	1572	16295
88	1585	16227
89	1598	16164
90	1611	16093
91	1624	16035
92	1638	15983
93	1654	15943
94	1673	15942
95	1698	15995
96	1712	15938
97	1724	15868
98	1738	15818
99	1751	15761
100	1765	15711
101	1782	15695
102	1795	15640
103	1809	15585
104	1821	15529
105	1836	15491
106	1852	15457
107	1868	15428
108	1884	15401
109	1896	15344
110	1911	15309
111	1925	15270
112	1942	15245
113	1953	15181
114	1965	15125
115	1976	15063
116	1986	14989
117	1997	14933
118	2009	14880
119	2019	14813
120	2031	14759
121	2044	14710
122	2055	14656
123	2066	14595
124	2079	14559
125	2094	14529
126	2113	14527
127	2140	14579
128	2152	14536
129	2167	14504
130	2182	14475
131	2197	14450
132	2212	14423
133	2226	14390
134	2243	14373
135	2262	14370
136	2328	14670
137	2400	14991
138	2438	15102
139	2463	15130
140	2496	15211
141	2509	15162
142	2524	15126
143	2547	15145
144	2576	15195
145	2594	15174
146	2608	15136
147	2624	15109
148	2637	15065
149	2648	15007
150	2661	14963
151	2673	14913
152	2685	14868
153	2695	14807
154	2709	14770
155	2720	14719
156	2736	14692
157	2748	14648
158	2763	14619
159	2778	14585
160	2792	14550
161	2807	14520
162	2822	14495
163	2838	14468
164	2852	14436
165	2862	14383
166	2874	14339
167	2888	14305
168	2900	14264
169	2912	14218
170	2924	14178
171	2937	14140
172	2953	14120
173	2970	14099
174	2988	14087
175	3006	14074
176	3020	14045
177	3034	14014
178	3048	13982
179	3061	13947
180	3073	13909
181	3086	13874
182	3100	13842
183	3114	13811
184	3126	13773
185	3137	13731
186	3153	13709
187	3166	13678
188	3180	13645
189	3190	13600
190	3204	13570
191	3217	13541
192	3230	13507
193	3242	13471
194	3254	13434
195	3269	13413
196	3284	13387
197	3297	13358
198	3313	13336
199	3327	13310
200	3339	13274
201	3351	13241
202	3367	13219
203	3380	13191
204	3396	13171
205	3412	13152
206	3433	13154
207	3449	13134
208	3463	13107
209	3476	13077
210	3486	13035
211	3497	12998
212	3508	12963
213	3522	12936
214	3534	12904
215	3546	12872
216	3558	12838
217	3568	12800
218	3579	12765
219	3592	12735
220	3603	12703
221	3613	12663
222	3624	12630
223	3638	12603
224	3652	12579
225	3663	12545
226	3674	12513
227	3685	12479
228	3695	12443
229	3708	12414
230	3720	12385
231	3730	12348
232	3743	12323
233	3760	12309
234	3771	12278
235	3784	12250
236	3794	12215
237	3807	12191
238	3820	12165
239	3830	12129
240	3845	12109
241	3877	12143
242	3893	12128
243	3905	12102
244	3920	12080
245	3933	12055
246	3945	12028
247	3968	12032
248	3990	12035
249	4009	12028
250	4023	12007
251	4038	11986
252	4052	11964
253	4064	11937
254	4074	11904
255	4087	11878
256	4100	11855
257	4112	11828
258	4122	11795
259	4134	11766
260	4145	11737
261	4155	11705
262	4167	11677
263	4179	11651
264	4189	11619
265	4202	11596
266	4215	11572
267	4226	11542
268	4235	11510
269	4249	11488
270	4264	11470
271	4283	11464
272	4298	11445
273	4309	11418
274	4320	11389
275	4331	11361
276	4341	11332
277	4352	11303
278	4364	11278
279	4375	11252
280	4385	11220
281	4395	11191
282	4404	11159
283	4415	11131
284	4428	11110
285	4437	11078
286	4448	11052
287	4462	11032
288	4475	11009
289	4486	10983
290	4506	10980
291	4522	10964
292	4541	10957
293	4555	10939
294	4569	10919
295	4580	10894
296	4593	10872
297	4604	10846
298	4613	10816
299	4626	10794
300	4636	10767
301	4647	10741
302	4659	10717
303	4672	10697
304	4683	10671
305	4699	10657
306	4721	10656
307	4736	10642
308	4758	10640
309	4778	10635
310	4796	10625
311	4811	10610
312	4827	10595
313	4842	10579
314	4855	10558
315	4865	10531
316	4878	10511
317	4891	10490
318	4904	10469
319	4913	10442
320	4926	10421
321	4939	10399
322	4953	10383
323	4968	10365
324	4978	10340
325	4992	10321
326	5004	10300
327	5016	10278
328	5027	10253
329	5040	10233
330	5053	10212
331	5066	10194
332	5077	10169
333	5090	10151
334	5102	10129
335	5114	10106
336	5125	10083
337	5140	10067
338	5156	10055
339	5179	10054
340	5193	10036
341	5214	10032
342	5226	10011
